Juju On That Beat,Zay Hilfigerrr & Zayion McCall,2016,Duet,Just Dance Unlimited
Don’t Worry,Madcon ft. Ray Dalton,2015,Duet,Just Dance Unlimited
I Gotta Feeling,The Black Eyed Peas,2009,Solo,Just Dance 2016
I’m An Albatraoz,AronChupa,2014,Solo,Just Dance 2016
All About That Bass,Meghan Trainor,2014,Solo,Just Dance 2016
Animals,Martin Garrix,2013,Duet,Just Dance 2016
Blame,Calvin Harris Ft. John Newman,2014,Solo,Just Dance 2016
Born This Way,Lady Gaga,2011,Trio,Just Dance 2016
Cool For The Summer,Demi Lovato,2015,Solo,Just Dance 2016
Hangover (BaBaBa),Buraka Som Sistema,2011,Duet,Just Dance 2016
Kaboom Pow,Nikki Yanofsky,2014,Solo,Just Dance 2016
Teacher,Nick Jonas,2014,Solo,Just Dance 2016
Me Too,Meghan Trainor,2016,Solo,Just Dance Unlimited
How Deep Is Your Love,Calvin Harris & Disciples,2015,Solo,Just Dance Unlimited
How Deep Is Your Love,Calvin Harris & Disciples,2015,Solo,Just Dance Unlimited
Last Christmas,Santa Clones,1986,Duet,Just Dance 2017
Last Christmas,Santa Clones,1986,Duet,Just Dance 2017
Like I Would,ZAYN,2015,Solo,Just Dance 2017
Like I Would,ZAYN,2015,Solo,Just Dance 2017
Drop the Mambo,Diva Carmina,2015,Solo,Just Dance 2016
Kool Kontact,Glorious Black Belts,2015,Duet,Just Dance 2016
Balkan Blast Remix,Angry Birds,2015,Dance Crew,Just Dance 2016
Boys (Summertime Love),Sabrina (The Lemon Cubes),1987,Trio,Just Dance 2016
Chiwawa,Wanko Ni Mero Mero,2015,Solo,Just Dance 2016
Circus,Britney Spears,2008,Dance Crew,Just Dance 2016
Copacabana,Barry Manilow (Frankie Bostello),1978,Dance Crew,Just Dance 2016
Fun,Pitbull Ft. Chris Brown,2014,Solo,Just Dance 2016
Hey Mama,"David Guetta Ft. Nicki Minaj, Bebe Rexha & Afrojack",2014,Trio,Just Dance 2016
Irish Meadow Dance,O'Callaghan's Orchestra,1856,Dance Crew,Just Dance 2016
You’re The One That I Want,John Travolta & Olivia Newton-John (From The Movie Grease),1978,Duet,Just Dance 2016
HandClap,Fitz and the Tantrums,2016,Trio,Just Dance Unlimited
Fancy,Iggy Azalea Ft. Charli XCX,2014,Trio,Just Dance 2016
Gibberish,MAX,2015,Duet,Just Dance 2016
Hit The Road Jack,Ray Charles (Charles Percy),1961,Duet,Just Dance 2016
Let’s Groove,"Earth, Wind & Fire (Equinox Stars)",1981,Trio,Just Dance 2016
Lights,Ellie Goulding,2011,Solo,Just Dance 2016
No Control,One Direction,2014,Dance Crew,Just Dance 2016
Stadium Flow,Imposs,2015,Solo,Just Dance 2016
Stuck On A Feeling,Prince Royce,2014,Solo,Just Dance 2016
Uptown Funk,Mark Ronson Ft. Bruno Mars,2014,Solo,Just Dance 2016
Macarena,Los Del Rio (The Girly Team),1995,Dance Crew,Just Dance 2015
Don’t Let Me Down,The Chainsmokers ft. Daya,2016,Duet,Just Dance Unlimited
Heartbeat Song,Kelly Clarkson,2015,Solo,Just Dance 2016
Junto a Ti,"Martina Stoessel & Lodovica Comello (Disney’s ""Violetta"")",2012,Trio,Just Dance 2016
Rabiosa,Shakira ft. El Cata,2010,Solo,Just Dance 2016
The Choice Is Yours,Darius Dante Van Dijk,2015,Solo,Just Dance 2016
These Boots Are Made For Walking,Nancy Sinatra (The Girly Team),1966,Solo,Just Dance 2016
This Is How We Do,Katy Perry,2013,Dance Crew,Just Dance 2016
Want To Want Me,Jason Derulo,2015,Solo,Just Dance 2016
When The Rain Begins To Fall,Jermaine Jackson and Pia Zadora (Sky Trucking),1984,Duet,Just Dance 2016
You Never Can Tell,Chuck Berry (A. Caveman & The Backseats),1963,Duet,Just Dance 2016
Ain’t My Fault,Zara Larsson,2016,Solo,Just Dance Unlimited
Wake Me Up Before You Go-Go,Wham!,1985,Solo,Just Dance 2
All About Us,Jordan Fisher,2016,Trio,Just Dance 2017
Bailar,Deorro ft. Elvis Crespo,2016,Solo,Just Dance 2017
Bang,Anitta,2015,Solo,Just Dance 2017
Bonbon,Era Istrefi,2016,Solo,Just Dance 2017
Cake By The Ocean,DNCE,2015,Solo,Just Dance 2017
Can’t Feel My Face,The Weeknd,2015,Solo,Just Dance 2017
Carnaval Boom,Latino Sunset,2016,Solo,Just Dance 2017
Cheap Thrills,Sia ft. Sean Paul,2016,Solo,Just Dance 2017
Cola Song,INNA ft. J Balvin,2014,Solo,Just Dance 2017
Don’t Stop Me Now,Queen,1978,Solo,Just Dance 2017
Don’t Wanna Know,Maroon 5,2016,Solo,Just Dance 2017
Dragostea Din Tei,O-Zone,2003,Trio,Just Dance 2017
El Tiki,Maluma,2015,Duet,Just Dance 2017
Ghost In The Keys,Halloween Thrills,2016,Dance Crew,Just Dance 2017
Groove,Jack & Jack,2014,Duet,Just Dance 2017
Hips Don’t Lie,Shakira ft. Wyclef Jean,2005,Solo,Just Dance 2017
I Love Rock ‘N’ Roll,Joan Jett & The Blackhearts (Fast Forward Highway),1981,Solo,Just Dance 2017
Into You,Ariana Grande,2016,Solo,Just Dance 2017
